web-scraper-order,web-scraper-start-url,pagination,user,date,review
1650527607-137,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Wong S. M.,4-Sep-21,ik.imagekit.io
1650527607-138,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,rachman c. m.,27-Dec-19,Hotel terasa mewah tersedia shuttle bus untuk ke uss dan vivo city walaupun tidak ada yang ke orchard. Restoran enak dan pelayanan ramah. Tapi nuansa kurang nyaman untuk keluarga dengan anak. Tidak ada fasilitas anak karena hotel lebih bernuansa club dan night life
1650527607-139,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Edi H.,7-Oct-18,Sangat memuaskan dan meninggalkan kenangan yang terindah di hotel wisa bersama orang yang kita cintai. Pelayanan yang bagus dan memberikan cake ultah yang banget enak.
1650527607-140,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Deli Y.,27-May-16,"Poolnya bersih, kamarnya sangat sangat bagus. Pelayanannya memuaskan. Makanan lumayan"
1650527607-141,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Taufan A. N.,12-Sep-15,"Nyaman, ramah untuk bayi (menyediakan baby chair untuk dipakai dikamar), ramah pelayanannya, dipermudah dengan adanya shuttle bus menuju universal studio dan menuju orchard."
1650527607-142,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Hor T. S. A.,1-Jul-21,"Liburan yang sempurna untuk keluarga saya! Bahkan mendapat balon dan kue untuk ulang tahun ayahku. Mencintai kolam renang dan gym, dan sarapan hotel juga bagus :)"
1650527607-143,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Chandra G.,30-Dec-18,Lokasi yang sempurna untuk tinggal ketika Anda mengunjungi Sentosa
1650527607-144,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Masataka H.,5-Nov-18,Saya pikir kamar dan fasilitasnya luar biasa namun ada area yang saya benar-benar tidak merasa nyaman dengan layanan tamu mereka. 1) Staf meja depan tidak fokus selama check-in saya dan terus berurusan dengan tamu lain yang masuk. 2) Staf di lobi tidak melayani tamu agar dapat memesan taksi (saya berada di urutan kedua tetapi dilayani terakhir tanpa kata). 3) Karena keterlambatan shuttle bus kami disuruh naik taksi dan mengirim kwitansi kembali ke hotel untuk penggantian. Saya melakukannya tetapi tidak ada jawaban sama sekali. Saya dalam status Platinum Elite tetapi tidak dapat menggunakannya karena teman saya memesan melalui agen perjalanan. Saya terkejut melihat layanannya sangat berbeda.
1650527607-145,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,HoangNhan V.,5-Sep-18,"Layanan bagus, pemandangan indah, ketika Anda pria datang ke sentosa coba saja, Anda tidak akan kecewa"
1650527607-146,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Adi S.,24-Oct-17,"Suasana yang indah. Hotel muda dan trendi ini terletak di Sentosa Cove yang indah, jauh dari keramaian dan hiruk pikuk Singapura, namun berada sangat dekat dengan restoran dan supermarket."
